# Crappy T-R cal curve for CRAAC T-side Ch 6 (cold resistor)

#UNITS = Kelvin

#T (K)           R (ohms)
4.38220450000000E-02   6.97370000000000E+04
4.78125940000000E-02   6.10710000000000E+04
5.18501550000000E-02   5.43153000000000E+04
5.68898610000000E-02   4.77754000000000E+04
6.37913710000000E-02   4.07007000000000E+04
7.35363420000000E-02   3.32287000000000E+04
8.32794520000000E-02   2.80332000000000E+04
9.53463840000000E-02   2.36846000000000E+04
1.12058369000000E-01   1.98056000000000E+04
1.28249044000000E-01   1.72138000000000E+04
1.46133083000000E-01   1.51198000000000E+04
1.62576452000000E-01   1.36815000000000E+04
1.82228492000000E-01   1.23302000000000E+04
2.03643173000000E-01   1.12109000000000E+04
2.29593165000000E-01   1.01718000000000E+04
2.59658112000000E-01   9.25700000000000E+03
2.90040756000000E-01   8.54560000000000E+03
3.10100910000000E-01   8.15880000000000E+03
3.30026780000000E-01   7.82510000000000E+03
3.68058849000000E-01   7.29010000000000E+03
4.18124713000000E-01   6.74100000000000E+03
4.75644621000000E-01   6.25530000000000E+03
5.34911786000000E-01   5.86520000000000E+03
6.09587066000000E-01   5.48380000000000E+03
6.84707029000000E-01   5.18581000000000E+03
7.64396371000000E-01   4.93346000000000E+03
8.55515045000000E-01   4.70136000000000E+03
9.49701799000000E-01   4.50631000000000E+03
1.05080300732378E+00   4.33292000000000E+03
1.14931244308766E+00   4.19129000000000E+03
1.19863696245715E+00   4.12831000000000E+03
1.29957307641099E+00   4.01423943836671E+03
1.39981374504783E+00   3.91688414265124E+03
1.59962719283417E+00   3.75629910210354E+03
1.79946302191641E+00   3.62932527362624E+03
2.00001973841449E+00   3.52564118870908E+03
2.19986905173774E+00   3.43938437999662E+03
2.40034078077171E+00   3.36582414910231E+03
2.59812451238186E+00   3.30332684115980E+03
2.80101584552142E+00   3.24725717602274E+03
2.99647823409828E+00   3.19985633470477E+03
3.19819811637025E+00   3.15639422954979E+03
3.39752237342447E+00   3.11784559424980E+03
3.59801704367681E+00   3.08306792046011E+03
3.79521651023510E+00   3.05165549940358E+03
3.99880179318610E+00   3.02230747428271E+03
4.19429165200763E+00   2.99633172557780E+03
4.62394303217801E+00   2.94609840601259E+03
5.02575647408144E+00   2.90541087349200E+03
5.52666693392882E+00   2.86199464843553E+03
6.23125181796129E+00   2.81103248406490E+03
7.04161001240301E+00   2.76268382457818E+03
8.05489450534182E+00   2.71324163466938E+03
9.06175657650279E+00   2.67266517679194E+03
1.00719570867380E+01   2.63813377895276E+03
1.10893556145772E+01   2.60841091897667E+03
1.20990444371353E+01   2.58218560788349E+03
1.31050817534501E+01   2.55887527984488E+03
1.41094183322063E+01   2.53824257062308E+03
1.51012416669367E+01   2.51975813412610E+03
1.60914277678921E+01   2.50291951984627E+03
1.70747733407657E+01   2.48764419078652E+03
1.80595236043090E+01   2.47340267551246E+03
1.90445940280670E+01   2.46027257792040E+03
2.00290408829685E+01   2.44823062360752E+03
2.11163731093365E+01   2.43556780173222E+03
2.27053838870069E+01   2.41902587789931E+03
2.42997861059830E+01   2.40388021614825E+03
2.58837224483110E+01   2.38995151699354E+03
2.74892817287405E+01   2.37741383339373E+03
2.90963591695683E+01   2.36548640101113E+03
3.09076544475792E+01   2.35327720171947E+03
3.30096716014206E+01   2.34025798979353E+03
3.60114376053979E+01   2.32350502508626E+03
3.89953848067877E+01   2.30882391826163E+03
4.19924532723377E+01   2.29558768321502E+03
4.49887100906484E+01   2.28332470639699E+03
